sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_execution,dim_length,dim_outer_d_branch,dim_wall_branch,dim_gost_designation,description,attributes,dim_dy,dim_dy1,dim_pn,dim_temperature,dim_equal_pass,woo_type,parent_sku,attr_steel,attr_supervised,regular_price,stock_status,manage_stock
гост-17378-2001-1-300-3239-71--1683-3-17г1с,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х7.1-168.3х4.5 17Г1С ГОСТ 17378-2001,300,150,323.9,7.1,168.3,4.5,,,,11,17Г1С,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,17Г1С,,,К-1-323.9х7.1-168.3х4.5,False,гост-17378-2001-1-300-3239-71--1683-3,1,203,168.3,4.5,К-1-323.9х7.1-168.3х4.5,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х7.1-168.3х4.5 мм. L=203 мм. Исполнение 1. Марка стали 17Г1С. Масса 11 кг. Условное обозначение: К-1-323.9х7.1-168.3х4.5.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=7.1; mass_kg=11; material=17Г1С; length_mm=203; execution=1; material_grade=17Г1С; length=203; outer_d_branch=168.3; wall_branch=4.5; gost_designation=К-1-323.9х7.1-168.3х4.5,,,,,,,,,,,,
гост-17378-2001-1-300-3239-71--1683-3-17г1сP,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход П К 323.9х7.1-168.3х4.5 17Г1С ГОСТ 17378-2001,300,150,323.9,7.1,168.3,4.5,,,,11,17Г1С,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,17Г1С,,,К-1-323.9х7.1-168.3х4.5,True,гост-17378-2001-1-300-3239-71--1683-3,1,203,168.3,4.5,К-1-323.9х7.1-168.3х4.5,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х7.1-168.3х4.5 мм. L=203 мм. Исполнение 1. Марка стали 17Г1С. Масса 11 кг. Условное обозначение: К-1-323.9х7.1-168.3х4.5.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=7.1; mass_kg=11; material=17Г1С; length_mm=203; execution=1; material_grade=17Г1С; length=203; outer_d_branch=168.3; wall_branch=4.5; gost_designation=К-1-323.9х7.1-168.3х4.5; supervised=Да,,,,,,,,,,,,
гост-17378-2001-1-300-3239-71--1683-3-17г1с-у,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х7.1-168.3х4.5 17Г1С-У ГОСТ 17378-2001,300,150,323.9,7.1,168.3,4.5,,,,11,17Г1С-У,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,17Г1С-У,,,К-1-323.9х7.1-168.3х4.5,False,гост-17378-2001-1-300-3239-71--1683-3,1,203,168.3,4.5,К-1-323.9х7.1-168.3х4.5,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х7.1-168.3х4.5 мм. L=203 мм. Исполнение 1. Марка стали 17Г1С-У. Масса 11 кг. Условное обозначение: К-1-323.9х7.1-168.3х4.5.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=7.1; mass_kg=11; material=17Г1С-У; length_mm=203; execution=1; material_grade=17Г1С-У; length=203; outer_d_branch=168.3; wall_branch=4.5; gost_designation=К-1-323.9х7.1-168.3х4.5,,,,,,,,,,,,
гост-17378-2001-1-300-3239-71--1683-3-17гс,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х7.1-168.3х4.5 17ГС ГОСТ 17378-2001,300,150,323.9,7.1,168.3,4.5,,,,11,17ГС,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,17ГС,,,К-1-323.9х7.1-168.3х4.5,False,гост-17378-2001-1-300-3239-71--1683-3,1,203,168.3,4.5,К-1-323.9х7.1-168.3х4.5,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х7.1-168.3х4.5 мм. L=203 мм. Исполнение 1. Марка стали 17ГС. Масса 11 кг. Условное обозначение: К-1-323.9х7.1-168.3х4.5.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=7.1; mass_kg=11; material=17ГС; length_mm=203; execution=1; material_grade=17ГС; length=203; outer_d_branch=168.3; wall_branch=4.5; gost_designation=К-1-323.9х7.1-168.3х4.5,,,,,,,,,,,,
гост-17378-2001-1-300-3239-71--1683-3-20,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х7.1-168.3х4.5 Ст20 ГОСТ 17378-2001,300,150,323.9,7.1,168.3,4.5,,,,11,20,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,20,,,К-1-323.9х7.1-168.3х4.5,False,гост-17378-2001-1-300-3239-71--1683-3,1,203,168.3,4.5,К-1-323.9х7.1-168.3х4.5,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х7.1-168.3х4.5 мм. L=203 мм. Исполнение 1. Марка стали 20. Масса 11 кг. Условное обозначение: К-1-323.9х7.1-168.3х4.5.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=7.1; mass_kg=11; material=20; length_mm=203; execution=1; material_grade=20; length=203; outer_d_branch=168.3; wall_branch=4.5; gost_designation=К-1-323.9х7.1-168.3х4.5,,,,,,,,,,,,
гост-17378-2001-1-300-3239-71--1683-3-р9,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х7.1-168.3х4.5 Р9 ГОСТ 17378-2001,300,150,323.9,7.1,168.3,4.5,,,,11,Р9,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,Р9,,,К-1-323.9х7.1-168.3х4.5,False,гост-17378-2001-1-300-3239-71--1683-3,1,203,168.3,4.5,К-1-323.9х7.1-168.3х4.5,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х7.1-168.3х4.5 мм. L=203 мм. Исполнение 1. Марка стали Р9. Масса 11 кг. Условное обозначение: К-1-323.9х7.1-168.3х4.5.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=7.1; mass_kg=11; material=Р9; length_mm=203; execution=1; material_grade=Р9; length=203; outer_d_branch=168.3; wall_branch=4.5; gost_designation=К-1-323.9х7.1-168.3х4.5,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-08х18н10т,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х10-168.3х7.1 08Х18Н10Т ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,08Х18Н10Т,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,08Х18Н10Т,,,К-1-323.9х10-168.3х7.1,False,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали 08Х18Н10Т. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=08Х18Н10Т; length_mm=203; execution=1; material_grade=08Х18Н10Т; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-09г2с,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х10-168.3х7.1 09Г2С ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,09Г2С,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,09Г2С,,,К-1-323.9х10-168.3х7.1,False,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали 09Г2С. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=09Г2С; length_mm=203; execution=1; material_grade=09Г2С; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-09г2сP,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход П К 323.9х10-168.3х7.1 09Г2С ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,09Г2С,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,09Г2С,,,К-1-323.9х10-168.3х7.1,True,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали 09Г2С. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=09Г2С; length_mm=203; execution=1; material_grade=09Г2С; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1; supervised=Да,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-10,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х10-168.3х7.1 Ст10 ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,10,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,10,,,К-1-323.9х10-168.3х7.1,False,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали 10. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=10; length_mm=203; execution=1; material_grade=10; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-10г2,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х10-168.3х7.1 10Г2 ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,10Г2,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,10Г2,,,К-1-323.9х10-168.3х7.1,False,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали 10Г2. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=10Г2; length_mm=203; execution=1; material_grade=10Г2; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-10г2с1,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х10-168.3х7.1 10Г2С1 ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,10Г2С1,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,10Г2С1,,,К-1-323.9х10-168.3х7.1,False,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали 10Г2С1. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=10Г2С1; length_mm=203; execution=1; material_grade=10Г2С1; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-10х17н13м2т,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х10-168.3х7.1 10Х17Н13М2Т ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,10Х17Н13М2Т,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,10Х17Н13М2Т,,,К-1-323.9х10-168.3х7.1,False,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали 10Х17Н13М2Т. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=10Х17Н13М2Т; length_mm=203; execution=1; material_grade=10Х17Н13М2Т; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-12х18н10т,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х10-168.3х7.1 12Х18Н10Т ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,12Х18Н10Т,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,12Х18Н10Т,,,К-1-323.9х10-168.3х7.1,False,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали 12Х18Н10Т. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=12Х18Н10Т; length_mm=203; execution=1; material_grade=12Х18Н10Т; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-12х18н10тP,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход П К 323.9х10-168.3х7.1 12Х18Н10Т ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,12Х18Н10Т,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,12Х18Н10Т,,,К-1-323.9х10-168.3х7.1,True,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали 12Х18Н10Т. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=12Х18Н10Т; length_mm=203; execution=1; material_grade=12Х18Н10Т; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1; supervised=Да,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-13хфа,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х10-168.3х7.1 13ХФА ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,13ХФА,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,13ХФА,,,К-1-323.9х10-168.3х7.1,False,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали 13ХФА. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=13ХФА; length_mm=203; execution=1; material_grade=13ХФА; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-17г1с,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х10-168.3х7.1 17Г1С ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,17Г1С,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,17Г1С,,,К-1-323.9х10-168.3х7.1,False,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали 17Г1С. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=17Г1С; length_mm=203; execution=1; material_grade=17Г1С; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-17г1сP,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход П К 323.9х10-168.3х7.1 17Г1С ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,17Г1С,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,17Г1С,,,К-1-323.9х10-168.3х7.1,True,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали 17Г1С. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=17Г1С; length_mm=203; execution=1; material_grade=17Г1С; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1; supervised=Да,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-17г1с-у,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х10-168.3х7.1 17Г1С-У ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,17Г1С-У,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,17Г1С-У,,,К-1-323.9х10-168.3х7.1,False,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали 17Г1С-У. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=17Г1С-У; length_mm=203; execution=1; material_grade=17Г1С-У; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-17гс,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х10-168.3х7.1 17ГС ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,17ГС,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,17ГС,,,К-1-323.9х10-168.3х7.1,False,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали 17ГС. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=17ГС; length_mm=203; execution=1; material_grade=17ГС; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-20,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х10-168.3х7.1 Ст20 ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,20,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,20,,,К-1-323.9х10-168.3х7.1,False,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали 20. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=20; length_mm=203; execution=1; material_grade=20; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1,,,,,,,,,,,,
гост-17378-2001-1-300-3239-10--1683-3-р9,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х10-168.3х7.1 Р9 ГОСТ 17378-2001,300,150,323.9,10,168.3,7.1,,,,16,Р9,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,Р9,,,К-1-323.9х10-168.3х7.1,False,гост-17378-2001-1-300-3239-10--1683-3,1,203,168.3,7.1,К-1-323.9х10-168.3х7.1,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 150. Размеры 323.9х10-168.3х7.1 мм. L=203 мм. Исполнение 1. Марка стали Р9. Масса 16 кг. Условное обозначение: К-1-323.9х10-168.3х7.1.,dn=300; dn_branch=150; outer_diameter=323.9; wall_thickness=10; mass_kg=16; material=Р9; length_mm=203; execution=1; material_grade=Р9; length=203; outer_d_branch=168.3; wall_branch=7.1; gost_designation=К-1-323.9х10-168.3х7.1,,,,,,,,,,,,
гост-17378-2001-1-300-3239-71--2191-3-08х18н10т,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х7.1-219.1х6.3 08Х18Н10Т ГОСТ 17378-2001,300,200,323.9,7.1,219.1,6.3,,,,11,08Х18Н10Т,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,08Х18Н10Т,,,К-1-323.9х7.1-219.1х6.3,False,гост-17378-2001-1-300-3239-71--2191-3,1,203,219.1,6.3,К-1-323.9х7.1-219.1х6.3,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 200. Размеры 323.9х7.1-219.1х6.3 мм. L=203 мм. Исполнение 1. Марка стали 08Х18Н10Т. Масса 11 кг. Условное обозначение: К-1-323.9х7.1-219.1х6.3.,dn=300; dn_branch=200; outer_diameter=323.9; wall_thickness=7.1; mass_kg=11; material=08Х18Н10Т; length_mm=203; execution=1; material_grade=08Х18Н10Т; length=203; outer_d_branch=219.1; wall_branch=6.3; gost_designation=К-1-323.9х7.1-219.1х6.3,,,,,,,,,,,,
гост-17378-2001-1-300-3239-71--2191-3-09г2с,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х7.1-219.1х6.3 09Г2С ГОСТ 17378-2001,300,200,323.9,7.1,219.1,6.3,,,,11,09Г2С,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,09Г2С,,,К-1-323.9х7.1-219.1х6.3,False,гост-17378-2001-1-300-3239-71--2191-3,1,203,219.1,6.3,К-1-323.9х7.1-219.1х6.3,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 200. Размеры 323.9х7.1-219.1х6.3 мм. L=203 мм. Исполнение 1. Марка стали 09Г2С. Масса 11 кг. Условное обозначение: К-1-323.9х7.1-219.1х6.3.,dn=300; dn_branch=200; outer_diameter=323.9; wall_thickness=7.1; mass_kg=11; material=09Г2С; length_mm=203; execution=1; material_grade=09Г2С; length=203; outer_d_branch=219.1; wall_branch=6.3; gost_designation=К-1-323.9х7.1-219.1х6.3,,,,,,,,,,,,
гост-17378-2001-1-300-3239-71--2191-3-09г2сP,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход П К 323.9х7.1-219.1х6.3 09Г2С ГОСТ 17378-2001,300,200,323.9,7.1,219.1,6.3,,,,11,09Г2С,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,09Г2С,,,К-1-323.9х7.1-219.1х6.3,True,гост-17378-2001-1-300-3239-71--2191-3,1,203,219.1,6.3,К-1-323.9х7.1-219.1х6.3,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 200. Размеры 323.9х7.1-219.1х6.3 мм. L=203 мм. Исполнение 1. Марка стали 09Г2С. Масса 11 кг. Условное обозначение: К-1-323.9х7.1-219.1х6.3.,dn=300; dn_branch=200; outer_diameter=323.9; wall_thickness=7.1; mass_kg=11; material=09Г2С; length_mm=203; execution=1; material_grade=09Г2С; length=203; outer_d_branch=219.1; wall_branch=6.3; gost_designation=К-1-323.9х7.1-219.1х6.3; supervised=Да,,,,,,,,,,,,
гост-17378-2001-1-300-3239-71--2191-3-10,ГОСТ 17378-2001,ГОСТ 17378-2001,переходы,Переходы,ПК,Переход К 323.9х7.1-219.1х6.3 Ст10 ГОСТ 17378-2001,300,200,323.9,7.1,219.1,6.3,,,,11,10,3,pdf/отводы/ГОСТ_17378_2001.pdf,,203,,,,1,,10,,,К-1-323.9х7.1-219.1х6.3,False,гост-17378-2001-1-300-3239-71--2191-3,1,203,219.1,6.3,К-1-323.9х7.1-219.1х6.3,Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 300. DN1 200. Размеры 323.9х7.1-219.1х6.3 мм. L=203 мм. Исполнение 1. Марка стали 10. Масса 11 кг. Условное обозначение: К-1-323.9х7.1-219.1х6.3.,dn=300; dn_branch=200; outer_diameter=323.9; wall_thickness=7.1; mass_kg=11; material=10; length_mm=203; execution=1; material_grade=10; length=203; outer_d_branch=219.1; wall_branch=6.3; gost_designation=К-1-323.9х7.1-219.1х6.3,,,,,,,,,,,,
