sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_execution,dim_height_mm,dim_gost_designation,description,attributes,dim_cap_kind,dim_dimension_a,dim_flange_height_mm,dim_outer_d_branch
гост-17379-2001-1-125-1397-4---1-13хфа,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 1-139.7х4 13ХФА ГОСТ 17379-2001,125,,139.7,4,,,,1.8,13ХФА,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,13ХФА,,,1-139.7х4,False,гост-17379-2001-1-125-1397-4---1,1,76,1-139.7х4,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 4 мм. Высота K 76 мм. Марка стали 13ХФА. Масса 1.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х4.,dn=125; outer_diameter=139.7; wall_thickness=4; mass_kg=1.8; material=13ХФА; execution=1; material_grade=13ХФА; height_mm=76; gost_designation=1-139.7х4,,,,
гост-17379-2001-1-125-1397-4---1-17г1с,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 1-139.7х4 17Г1С ГОСТ 17379-2001,125,,139.7,4,,,,1.8,17Г1С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,17Г1С,,,1-139.7х4,False,гост-17379-2001-1-125-1397-4---1,1,76,1-139.7х4,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 4 мм. Высота K 76 мм. Марка стали 17Г1С. Масса 1.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х4.,dn=125; outer_diameter=139.7; wall_thickness=4; mass_kg=1.8; material=17Г1С; execution=1; material_grade=17Г1С; height_mm=76; gost_designation=1-139.7х4,,,,
гост-17379-2001-1-125-1397-4---1-17г1сP,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка П 1-139.7х4 17Г1С ГОСТ 17379-2001,125,,139.7,4,,,,1.8,17Г1С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,17Г1С,,,1-139.7х4,True,гост-17379-2001-1-125-1397-4---1,1,76,1-139.7х4,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 4 мм. Высота K 76 мм. Марка стали 17Г1С. Масса 1.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х4.,dn=125; outer_diameter=139.7; wall_thickness=4; mass_kg=1.8; material=17Г1С; execution=1; material_grade=17Г1С; height_mm=76; gost_designation=1-139.7х4; supervised=Да,,,,
гост-17379-2001-1-125-1397-63---1-09г2с,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 1-139.7х6.3 09Г2С ГОСТ 17379-2001,125,,139.7,6.3,,,,2.8,09Г2С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,09Г2С,,,1-139.7х6.3,False,гост-17379-2001-1-125-1397-63---1,1,76,1-139.7х6.3,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 6.3 мм. Высота K 76 мм. Марка стали 09Г2С. Масса 2.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х6.3.,dn=125; outer_diameter=139.7; wall_thickness=6.3; mass_kg=2.8; material=09Г2С; execution=1; material_grade=09Г2С; height_mm=76; gost_designation=1-139.7х6.3,,,,
гост-17379-2001-1-125-1397-63---1-09г2сP,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка П 1-139.7х6.3 09Г2С ГОСТ 17379-2001,125,,139.7,6.3,,,,2.8,09Г2С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,09Г2С,,,1-139.7х6.3,True,гост-17379-2001-1-125-1397-63---1,1,76,1-139.7х6.3,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 6.3 мм. Высота K 76 мм. Марка стали 09Г2С. Масса 2.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х6.3.,dn=125; outer_diameter=139.7; wall_thickness=6.3; mass_kg=2.8; material=09Г2С; execution=1; material_grade=09Г2С; height_mm=76; gost_designation=1-139.7х6.3; supervised=Да,,,,
гост-17379-2001-1-125-1397-63---1-12х18н10т,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 1-139.7х6.3 12Х18Н10Т ГОСТ 17379-2001,125,,139.7,6.3,,,,2.8,12Х18Н10Т,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,12Х18Н10Т,,,1-139.7х6.3,False,гост-17379-2001-1-125-1397-63---1,1,76,1-139.7х6.3,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 6.3 мм. Высота K 76 мм. Марка стали 12Х18Н10Т. Масса 2.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х6.3.,dn=125; outer_diameter=139.7; wall_thickness=6.3; mass_kg=2.8; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; height_mm=76; gost_designation=1-139.7х6.3,,,,
гост-17379-2001-1-125-1397-63---1-12х18н10тP,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка П 1-139.7х6.3 12Х18Н10Т ГОСТ 17379-2001,125,,139.7,6.3,,,,2.8,12Х18Н10Т,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,12Х18Н10Т,,,1-139.7х6.3,True,гост-17379-2001-1-125-1397-63---1,1,76,1-139.7х6.3,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 6.3 мм. Высота K 76 мм. Марка стали 12Х18Н10Т. Масса 2.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х6.3.,dn=125; outer_diameter=139.7; wall_thickness=6.3; mass_kg=2.8; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; height_mm=76; gost_designation=1-139.7х6.3; supervised=Да,,,,
гост-17379-2001-1-125-1397-63---1-20,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 1-139.7х6.3 Ст20 ГОСТ 17379-2001,125,,139.7,6.3,,,,2.8,20,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,20,,,1-139.7х6.3,False,гост-17379-2001-1-125-1397-63---1,1,76,1-139.7х6.3,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 6.3 мм. Высота K 76 мм. Марка стали 20. Масса 2.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х6.3.,dn=125; outer_diameter=139.7; wall_thickness=6.3; mass_kg=2.8; material=20; execution=1; material_grade=20; height_mm=76; gost_designation=1-139.7х6.3,,,,
гост-17379-2001-1-125-1397-63---1-13хфа,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 1-139.7х6.3 13ХФА ГОСТ 17379-2001,125,,139.7,6.3,,,,2.8,13ХФА,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,13ХФА,,,1-139.7х6.3,False,гост-17379-2001-1-125-1397-63---1,1,76,1-139.7х6.3,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 6.3 мм. Высота K 76 мм. Марка стали 13ХФА. Масса 2.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х6.3.,dn=125; outer_diameter=139.7; wall_thickness=6.3; mass_kg=2.8; material=13ХФА; execution=1; material_grade=13ХФА; height_mm=76; gost_designation=1-139.7х6.3,,,,
гост-17379-2001-1-125-1397-63---1-17г1с,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 1-139.7х6.3 17Г1С ГОСТ 17379-2001,125,,139.7,6.3,,,,2.8,17Г1С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,17Г1С,,,1-139.7х6.3,False,гост-17379-2001-1-125-1397-63---1,1,76,1-139.7х6.3,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 6.3 мм. Высота K 76 мм. Марка стали 17Г1С. Масса 2.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х6.3.,dn=125; outer_diameter=139.7; wall_thickness=6.3; mass_kg=2.8; material=17Г1С; execution=1; material_grade=17Г1С; height_mm=76; gost_designation=1-139.7х6.3,,,,
гост-17379-2001-1-125-1397-63---1-17г1сP,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка П 1-139.7х6.3 17Г1С ГОСТ 17379-2001,125,,139.7,6.3,,,,2.8,17Г1С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,17Г1С,,,1-139.7х6.3,True,гост-17379-2001-1-125-1397-63---1,1,76,1-139.7х6.3,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 6.3 мм. Высота K 76 мм. Марка стали 17Г1С. Масса 2.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х6.3.,dn=125; outer_diameter=139.7; wall_thickness=6.3; mass_kg=2.8; material=17Г1С; execution=1; material_grade=17Г1С; height_mm=76; gost_designation=1-139.7х6.3; supervised=Да,,,,
гост-17379-2001-1-125-1397-10---1-09г2с,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 1-139.7х10 09Г2С ГОСТ 17379-2001,125,,139.7,10,,,,1.8,09Г2С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,09Г2С,,,1-139.7х10,False,гост-17379-2001-1-125-1397-10---1,1,76,1-139.7х10,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 10 мм. Высота K 76 мм. Марка стали 09Г2С. Масса 1.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х10.,dn=125; outer_diameter=139.7; wall_thickness=10; mass_kg=1.8; material=09Г2С; execution=1; material_grade=09Г2С; height_mm=76; gost_designation=1-139.7х10,,,,
гост-17379-2001-1-125-1397-10---1-09г2сP,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка П 1-139.7х10 09Г2С ГОСТ 17379-2001,125,,139.7,10,,,,1.8,09Г2С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,09Г2С,,,1-139.7х10,True,гост-17379-2001-1-125-1397-10---1,1,76,1-139.7х10,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 10 мм. Высота K 76 мм. Марка стали 09Г2С. Масса 1.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х10.,dn=125; outer_diameter=139.7; wall_thickness=10; mass_kg=1.8; material=09Г2С; execution=1; material_grade=09Г2С; height_mm=76; gost_designation=1-139.7х10; supervised=Да,,,,
гост-17379-2001-1-125-1397-10---1-12х18н10т,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 1-139.7х10 12Х18Н10Т ГОСТ 17379-2001,125,,139.7,10,,,,1.8,12Х18Н10Т,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,12Х18Н10Т,,,1-139.7х10,False,гост-17379-2001-1-125-1397-10---1,1,76,1-139.7х10,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 10 мм. Высота K 76 мм. Марка стали 12Х18Н10Т. Масса 1.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х10.,dn=125; outer_diameter=139.7; wall_thickness=10; mass_kg=1.8; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; height_mm=76; gost_designation=1-139.7х10,,,,
гост-17379-2001-1-125-1397-10---1-12х18н10тP,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка П 1-139.7х10 12Х18Н10Т ГОСТ 17379-2001,125,,139.7,10,,,,1.8,12Х18Н10Т,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,12Х18Н10Т,,,1-139.7х10,True,гост-17379-2001-1-125-1397-10---1,1,76,1-139.7х10,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 10 мм. Высота K 76 мм. Марка стали 12Х18Н10Т. Масса 1.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х10.,dn=125; outer_diameter=139.7; wall_thickness=10; mass_kg=1.8; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; height_mm=76; gost_designation=1-139.7х10; supervised=Да,,,,
гост-17379-2001-1-125-1397-10---1-20,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 1-139.7х10 Ст20 ГОСТ 17379-2001,125,,139.7,10,,,,1.8,20,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,20,,,1-139.7х10,False,гост-17379-2001-1-125-1397-10---1,1,76,1-139.7х10,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 10 мм. Высота K 76 мм. Марка стали 20. Масса 1.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х10.,dn=125; outer_diameter=139.7; wall_thickness=10; mass_kg=1.8; material=20; execution=1; material_grade=20; height_mm=76; gost_designation=1-139.7х10,,,,
гост-17379-2001-1-125-1397-10---1-13хфа,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 1-139.7х10 13ХФА ГОСТ 17379-2001,125,,139.7,10,,,,1.8,13ХФА,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,13ХФА,,,1-139.7х10,False,гост-17379-2001-1-125-1397-10---1,1,76,1-139.7х10,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 10 мм. Высота K 76 мм. Марка стали 13ХФА. Масса 1.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х10.,dn=125; outer_diameter=139.7; wall_thickness=10; mass_kg=1.8; material=13ХФА; execution=1; material_grade=13ХФА; height_mm=76; gost_designation=1-139.7х10,,,,
гост-17379-2001-1-125-1397-10---1-17г1с,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 1-139.7х10 17Г1С ГОСТ 17379-2001,125,,139.7,10,,,,1.8,17Г1С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,17Г1С,,,1-139.7х10,False,гост-17379-2001-1-125-1397-10---1,1,76,1-139.7х10,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 10 мм. Высота K 76 мм. Марка стали 17Г1С. Масса 1.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х10.,dn=125; outer_diameter=139.7; wall_thickness=10; mass_kg=1.8; material=17Г1С; execution=1; material_grade=17Г1С; height_mm=76; gost_designation=1-139.7х10,,,,
гост-17379-2001-1-125-1397-10---1-17г1сP,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка П 1-139.7х10 17Г1С ГОСТ 17379-2001,125,,139.7,10,,,,1.8,17Г1С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,1,,17Г1С,,,1-139.7х10,True,гост-17379-2001-1-125-1397-10---1,1,76,1-139.7х10,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 1. DN 125. Наружный диаметр D 139.7 мм. Толщина стенки T 10 мм. Высота K 76 мм. Марка стали 17Г1С. Масса 1.8 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 1-139.7х10.,dn=125; outer_diameter=139.7; wall_thickness=10; mass_kg=1.8; material=17Г1С; execution=1; material_grade=17Г1С; height_mm=76; gost_designation=1-139.7х10; supervised=Да,,,,
гост-17379-2001-2-25-32-2---1-09г2с,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 32х2 09Г2С ГОСТ 17379-2001,25,,32,2,,,,0.1,09Г2С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,2,,09Г2С,,,32х2,False,гост-17379-2001-2-25-32-2---1,2,15,32х2,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 2. DN 25. Наружный диаметр D 32 мм. Толщина стенки T 2 мм. Высота K 15 мм. Марка стали 09Г2С. Масса 0.1 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 32х2.,dn=25; outer_diameter=32; wall_thickness=2; mass_kg=0.1; material=09Г2С; execution=2; material_grade=09Г2С; height_mm=15; gost_designation=32х2,,,,
гост-17379-2001-2-25-32-2---1-09г2сP,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка П 32х2 09Г2С ГОСТ 17379-2001,25,,32,2,,,,0.1,09Г2С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,2,,09Г2С,,,32х2,True,гост-17379-2001-2-25-32-2---1,2,15,32х2,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 2. DN 25. Наружный диаметр D 32 мм. Толщина стенки T 2 мм. Высота K 15 мм. Марка стали 09Г2С. Масса 0.1 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 32х2.,dn=25; outer_diameter=32; wall_thickness=2; mass_kg=0.1; material=09Г2С; execution=2; material_grade=09Г2С; height_mm=15; gost_designation=32х2; supervised=Да,,,,
гост-17379-2001-2-25-32-2---1-12х18н10т,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 32х2 12Х18Н10Т ГОСТ 17379-2001,25,,32,2,,,,0.1,12Х18Н10Т,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,2,,12Х18Н10Т,,,32х2,False,гост-17379-2001-2-25-32-2---1,2,15,32х2,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 2. DN 25. Наружный диаметр D 32 мм. Толщина стенки T 2 мм. Высота K 15 мм. Марка стали 12Х18Н10Т. Масса 0.1 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 32х2.,dn=25; outer_diameter=32; wall_thickness=2; mass_kg=0.1; material=12Х18Н10Т; execution=2; material_grade=12Х18Н10Т; height_mm=15; gost_designation=32х2,,,,
гост-17379-2001-2-25-32-2---1-12х18н10тP,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка П 32х2 12Х18Н10Т ГОСТ 17379-2001,25,,32,2,,,,0.1,12Х18Н10Т,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,2,,12Х18Н10Т,,,32х2,True,гост-17379-2001-2-25-32-2---1,2,15,32х2,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 2. DN 25. Наружный диаметр D 32 мм. Толщина стенки T 2 мм. Высота K 15 мм. Марка стали 12Х18Н10Т. Масса 0.1 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 32х2.,dn=25; outer_diameter=32; wall_thickness=2; mass_kg=0.1; material=12Х18Н10Т; execution=2; material_grade=12Х18Н10Т; height_mm=15; gost_designation=32х2; supervised=Да,,,,
гост-17379-2001-2-25-32-2---1-20,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 32х2 Ст20 ГОСТ 17379-2001,25,,32,2,,,,0.1,20,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,2,,20,,,32х2,False,гост-17379-2001-2-25-32-2---1,2,15,32х2,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 2. DN 25. Наружный диаметр D 32 мм. Толщина стенки T 2 мм. Высота K 15 мм. Марка стали 20. Масса 0.1 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 32х2.,dn=25; outer_diameter=32; wall_thickness=2; mass_kg=0.1; material=20; execution=2; material_grade=20; height_mm=15; gost_designation=32х2,,,,
гост-17379-2001-2-25-32-2---1-13хфа,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 32х2 13ХФА ГОСТ 17379-2001,25,,32,2,,,,0.1,13ХФА,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,2,,13ХФА,,,32х2,False,гост-17379-2001-2-25-32-2---1,2,15,32х2,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 2. DN 25. Наружный диаметр D 32 мм. Толщина стенки T 2 мм. Высота K 15 мм. Марка стали 13ХФА. Масса 0.1 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 32х2.,dn=25; outer_diameter=32; wall_thickness=2; mass_kg=0.1; material=13ХФА; execution=2; material_grade=13ХФА; height_mm=15; gost_designation=32х2,,,,
гост-17379-2001-2-25-32-2---1-17г1с,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 32х2 17Г1С ГОСТ 17379-2001,25,,32,2,,,,0.1,17Г1С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,2,,17Г1С,,,32х2,False,гост-17379-2001-2-25-32-2---1,2,15,32х2,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 2. DN 25. Наружный диаметр D 32 мм. Толщина стенки T 2 мм. Высота K 15 мм. Марка стали 17Г1С. Масса 0.1 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 32х2.,dn=25; outer_diameter=32; wall_thickness=2; mass_kg=0.1; material=17Г1С; execution=2; material_grade=17Г1С; height_mm=15; gost_designation=32х2,,,,
гост-17379-2001-2-25-32-2---1-17г1сP,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка П 32х2 17Г1С ГОСТ 17379-2001,25,,32,2,,,,0.1,17Г1С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,2,,17Г1С,,,32х2,True,гост-17379-2001-2-25-32-2---1,2,15,32х2,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 2. DN 25. Наружный диаметр D 32 мм. Толщина стенки T 2 мм. Высота K 15 мм. Марка стали 17Г1С. Масса 0.1 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 32х2.,dn=25; outer_diameter=32; wall_thickness=2; mass_kg=0.1; material=17Г1С; execution=2; material_grade=17Г1С; height_mm=15; gost_designation=32х2; supervised=Да,,,,
гост-17379-2001-2-25-32-3---1-09г2с,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 32х3 09Г2С ГОСТ 17379-2001,25,,32,3,,,,0.1,09Г2С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,2,,09Г2С,,,32х3,False,гост-17379-2001-2-25-32-3---1,2,15,32х3,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 2. DN 25. Наружный диаметр D 32 мм. Толщина стенки T 3 мм. Высота K 15 мм. Марка стали 09Г2С. Масса 0.1 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 32х3.,dn=25; outer_diameter=32; wall_thickness=3; mass_kg=0.1; material=09Г2С; execution=2; material_grade=09Г2С; height_mm=15; gost_designation=32х3,,,,
гост-17379-2001-2-25-32-3---1-09г2сP,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка П 32х3 09Г2С ГОСТ 17379-2001,25,,32,3,,,,0.1,09Г2С,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,2,,09Г2С,,,32х3,True,гост-17379-2001-2-25-32-3---1,2,15,32х3,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 2. DN 25. Наружный диаметр D 32 мм. Толщина стенки T 3 мм. Высота K 15 мм. Марка стали 09Г2С. Масса 0.1 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 32х3.,dn=25; outer_diameter=32; wall_thickness=3; mass_kg=0.1; material=09Г2С; execution=2; material_grade=09Г2С; height_mm=15; gost_designation=32х3; supervised=Да,,,,
гост-17379-2001-2-25-32-3---1-12х18н10т,ГОСТ 17379-2001,ГОСТ 17379-2001,заглушки,Заглушки,ЗЭ,Заглушка 32х3 12Х18Н10Т ГОСТ 17379-2001,25,,32,3,,,,0.1,12Х18Н10Т,1,pdf/отводы/ГОСТ_17379_2001.pdf,,,,,,2,,12Х18Н10Т,,,32х3,False,гост-17379-2001-2-25-32-3---1,2,15,32х3,Заглушка эллиптическая бесшовная приварная по ГОСТ 17379-2001. Исполнение 2. DN 25. Наружный диаметр D 32 мм. Толщина стенки T 3 мм. Высота K 15 мм. Марка стали 12Х18Н10Т. Масса 0.1 кг. Расчётное давление PN до 16 МПа. Температура от -70 до +450 °C. Условное обозначение: 32х3.,dn=25; outer_diameter=32; wall_thickness=3; mass_kg=0.1; material=12Х18Н10Т; execution=2; material_grade=12Х18Н10Т; height_mm=15; gost_designation=32х3,,,,
